Name,Nationality,Occupation,Affiliation,Ajah,Build,Clan,Current.status,Date.of.birth,Date.of.death,Eye.color,First.appeared,First.mentioned,Gender,Hair.color,Height,Last.appeared,Last.mentioned,Race,Rank,Sept,Society,Title,Weight
Alfara,Amadician,Innkeeper,NA,NA,Plump,NA,Alive,NA,NA,NA,TFOH:13,NA,Female,"gray, curly, long",NA,TFOH:13,NA,NA,NA,NA,NA,NA,NA
Aliane Senican,Unknown nationality,NA,NA,White Ajah,NA,NA,Dead,NA,355 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Alida Aldragoran,Saldaean,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,KOD:20,Female,NA,NA,NA,KOD:20,NA,NA,NA,NA,NA,NA
Alind Dyfelle,Unknown nationality,NA,White Tower,Gray Ajah,NA,NA,Dead,NA,NA,NA,NA,ACOS:19,Female,NA,NA,NA,ACOS:19,NA,Aes Sedai,NA,NA,NA,NA
Alis,Altaran,Servant,NA,NA,NA,NA,Alive,NA,NA,NA,ACOS:28,NA,Female,NA,NA,NA,ACOS:28,NA,NA,NA,NA,NA,NA
Alise Tenjile,Taraboner,NA,The Kin,NA,NA,NA,Alive,NA,NA,NA,TPOD:4,ACOS:23,Female,"Dark, flecks of gray",Average,TOM:52,NA,NA,NA,NA,NA,NA,NA
Alivia,Seanchan,NA,Dragon Reborn,NA,NA,NA,Alive,586 NE,NA,Blue,WH:11,TPOD:23,Female,Golden yellow with threads of white,Short,AMOL:42,AMOL:Epilogue,NA,NA,NA,NA,NA,NA
Alliandre Maritha Kigarin,Ghealdanin,Queen,Perrin Aybara,NA,NA,NA,Alive,NA,NA,NA,TFOH:39,NA,Female,"Dark, long",Short,AMOL:10,NA,NA,Queen,NA,NA,"Blessed of the Light, Defender of Garen's Wall, Queen of Ghealdan",NA
Alnora,Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,TSR:26,NA,Female,Glossy black,NA,TSR:26,NA,NA,NA,NA,NA,NA,NA
Aloisia Nemosni,Unknown nationality,Merchant,The Kin,NA,NA,NA,Alive,NA,NA,NA,NA,WH:10,Female,NA,NA,NA,WH:10,NA,NA,NA,NA,NA,NA
Alsbet Luhhan,Andoran,NA,Two Rivers,NA,NA,NA,Alive,955 NE[1],NA,NA,TEOTW:2,NA,Female,NA,NA,TSR:56,LOC:45,NA,NA,NA,NA,Women's Circle Member,NA
Alsera,Aiel,Wise One,NA,NA,NA,Nakai,Alive,NA,NA,NA,NA,TSR:49,Female,NA,NA,NA,TSR:49,NA,NA,Unknown sept,NA,NA,NA
Alstaing,Taraboner,Merchant,NA,NA,NA,NA,Alive,NA,NA,NA,KOD:11,NA,Female,NA,NA,KOD:11,NA,NA,NA,NA,NA,NA,NA
Altalin,Amadician,NA,NA,NA,Plump,NA,Alive,NA,NA,NA,LOC:9,NA,Female,NA,NA,LOC:9,LOC:9,NA,NA,NA,NA,Lady,NA
Alteima,Tairen,NA,NA,NA,NA,NA,Alive,NA,NA,Large Brown,TSR:21,TSR:4,Female,Long (half way to her waist) Black,Tall,TOM:5,NA,NA,High Lady,NA,NA,Lady,Slender
Althyn Conly,Andoran,NA,White Tower,NA,NA,NA,Alive,NA,NA,NA,NA,COT:17,Female,NA,NA,NA,COT:17,NA,Novice,NA,NA,NA,NA
Aludra,Taraboner,Illuminator,Matrim Cauthon,NA,NA,NA,Alive,NA,NA,NA,TGH:27,NA,Female,"Dark, Waist-length",NA,AMOL:Epilogue,NA,NA,NA,NA,NA,NA,Slender
Alvera Ramosanya,Unknown nationality,NA,White Tower,Yellow Ajah,NA,NA,Dead,NA,578 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Alviarin Freidhen,Amadician,Dreadlord,Black Ajah,White Ajah,Slim,NA,Alive,NA,NA,NA,TGH:12,NA,Female,NA,Tall,AMOL:42,NA,NA,Aes Sedai,NA,NA,NA,NA
Alvistere,Cairhienin,NA,White Tower,NA,Slim,NA,Alive,NA,NA,NA,KOD:24,NA,Female,"Long, dark",Short,KOD:24,NA,NA,Novice,NA,NA,NA,NA
Alwhin,Seanchan,NA,NA,NA,NA,NA,Dead,NA,1000 NE,Blue,TGH:40,NA,Female,NA,NA,TPOD:24,KOD:Prologue,NA,So'jhin,NA,NA,NA,NA
Alwin Rael,Unknown nationality,Servant,NA,NA,NA,NA,Alive,NA,NA,NA,NA,LOC:25,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alysa,Andoran,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TOM:1,NA,Female,Dark,NA,TOM:1,NA,NA,NA,NA,NA,NA,NA
Amaline Paendrag Tagora,Shandalle,NA,NA,NA,NA,NA,Dead,NA,FY 961,NA,NA,TWORJTWOT,Female,NA,NA,NA,NA,NA,Queen,NA,NA,High Queen,NA
Amalisa Jagad,Shienaran,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGH:4,TGH:2,Female,Dark,Short,TGH:5,TGH:8,NA,NA,NA,NA,Lady,NA
Amar,NA,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:54,Female,NA,NA,NA,LOC:54,Ogier,NA,NA,NA,NA,NA
Amaresu,Unknown nationality,NA,Horn of Valere,NA,NA,NA,Bound to the Wheel,NA,NA,NA,TGH:47,NA,Female,NA,NA,TGH:47,KOD:24,NA,Hero of the Horn,NA,NA,NA,NA
Amaryn,Aiel,NA,NA,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,LOC:33,Female,NA,NA,NA,LOC:33,NA,NA,Unknown sept,Unknown society,NA,NA
Amathera Aelfdene Casmir Lounault,Taraboner,NA,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,"Large, dark",TSR:52,TSR:38,Female,"Long, dark, braided",NA,TOM:17,AMOL:37,NA,Panarch,NA,NA,Panarch of Tarabon,NA
Amellia Arene,Amadician,Merchant,Darkfriend,NA,NA,NA,Alive,NA,NA,NA,TFOH:18,NA,Female,Graying,NA,TFOH:18,TFOH:34,NA,NA,NA,NA,NA,NA
Amico Nagoyin,Arafellin,NA,Black Ajah,Yellow Ajah,Slender,NA,Dead,967 NE,999 NE,"Large, Dark",TDR:51,TDR:25,Female,NA,NA,TSR:12,WH:22,NA,Aes Sedai,NA,NA,NA,NA
Amira Moselle,Taraboner,NA,Elaida a'Roihan's White Tower,Red Ajah,Stocky,NA,Dead,823 NE,1000 NE,NA,NS:14,NA,Female,"Braided, Long",NA,NS:14,ACOS:2,NA,Aes Sedai,NA,NA,NA,NA
Amira Paendrag,Shandalle,NA,NA,NA,NA,NA,Dead,FY 942,FY 961,NA,NA,RPG,Female,NA,NA,NA,NA,NA,NA,NA,NA,Princess,NA
Amylia,Unknown nationality,NA,Unaligned sisters,Brown Ajah,NA,NA,Alive,NA,NA,"Blue, startling",KOD:22,COT:14,Female,Pale,NA,KOD:22,NA,NA,Aes Sedai,NA,NA,NA,NA
Amys,Aiel,Wise One,NA,NA,Slim,Taardad,Alive,NA,NA,Blue,TSR:11,TDR:39,Female,Silvery-White,Tall,AMOL:42,NA,NA,NA,Nine Valleys,NA,NA,NA
Anaiya Carel,Unknown nationality,NA,Rebel Aes Sedai,Blue Ajah,NA,NA,Dead,Unknown,1000 NE,NA,NS:9,NA,Female,Dark,NA,COT:19,TGS:8,NA,Aes Sedai,NA,NA,NA,NA
Anaiyella Narencelona,Tairen,NA,Darkfriend,NA,Willowy,NA,Alive,NA,NA,NA,LOC:19,NA,Female,NA,NA,TOM:13,NA,NA,NA,NA,NA,High Lady of Tear,NA
Ananda,Unknown nationality,NA,White Tower,Yellow Ajah,Slender,NA,Dead,NA,999 NE,NA,TSR:1,NA,Female,"Black, Waist-length",NA,TSR:1,NA,NA,Aes Sedai,NA,NA,NA,NA
Anarina Todande,Altaran,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:48,Female,NA,NA,NA,NA,NA,Queen,NA,NA,Queen of Altara,NA
Anasai,Shienaran,Poet,NA,NA,NA,NA,Presumed dead,NA,NA,NA,NA,TEOTW:46,Female,NA,NA,NA,AMOL:7,NA,NA,NA,NA,NA,NA
Andaya Forae,Taraboner,Sitter,White Tower,Gray Ajah,Thin,NA,Alive,NA,NA,NA,TFOH:Prologue,NA,Female,"Light Brown, Very long, Gleaming",Average,TOM:27,NA,NA,Aes Sedai,NA,NA,NA,NA
Andaya Murasaka,Unknown nationality,Entertainer,Valan Luca,NA,NA,NA,Alive,NA,NA,NA,TFOH:47,NA,Female,NA,NA,TFOH:47,NA,NA,NA,NA,NA,NA,NA
Andhilin,Aiel,NA,Car'a'carn,NA,NA,Goshien,Dead,NA,NA,NA,NA,KOD:18,Female,NA,NA,NA,TGS:29,NA,NA,Red Salt,Far Dareis Mai,NA,NA
Andil,Cairhienin,Cook,NA,NA,NA,NA,Alive,NA,NA,NA,COT:Prologue,NA,Female,NA,NA,COT:Prologue,NA,NA,NA,NA,NA,NA,NA
Andscale,Andoran,Banker,NA,NA,NA,NA,Alive,NA,NA,NA,NA,KOD:26,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemara,Unknown nationality,NA,White Tower,NA,Plump,NA,Alive,NA,NA,NA,KOD:2,NA,Female,NA,NA,KOD:2,NA,NA,Accepted,NA,NA,NA,NA
Anford,Andoran,Clerk,Elayne Trakand,NA,NA,NA,Alive,NA,NA,NA,KOD:17,NA,Female,Graying,NA,KOD:32,NA,NA,NA,NA,NA,NA,NA
Anghara,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,ACOS:16,Female,NA,NA,NA,ACOS:16,NA,NA,NA,NA,Amyrlin Seat,NA
Angharad Juerissen,Unknown nationality,NA,White Tower,Gray Ajah,NA,NA,Unknown,NA,NA,NA,NA,The Wheel of Time Companion,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,NA,Keeper of the Chronicles,NA
Angla,Unknown nationality,NA,White Tower,NA,NA,NA,Alive,NA,NA,NA,LOC:14,NA,Female,NA,NA,LOC:14,NA,NA,NA,NA,NA,NA,NA
Anla,NA,NA,NA,NA,NA,NA,Fictional character,NA,NA,NA,NA,TEOTW:4,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anla_the_Wise_Counselor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anlee,Unknown nationality,Sitter,NA,Blue Ajah,NA,NA,Unknown,NA,NA,NA,NS:11,NA,Female,Graying,NA,NS:12,NA,NA,Aes Sedai,NA,NA,NA,NA
Annah,Unknown nationality,Soldier,NA,NA,NA,NA,Dead,NA,1000 NE,NA,AMOL:27,NA,Female,NA,NA,AMOL:27,NA,NA,NA,NA,NA,NA,NA
Annharid Matoun,Saldaean,NA,White Tower,Yellow Ajah,Stocky,NA,Alive,894 NE,NA,Dark brown,NA,COT:Prologue,Female,Black,NA,NA,COT:Prologue,NA,Aes Sedai,NA,NA,NA,NA
Annoura Larisen,Taraboner,NA,Unaligned sisters,Gray Ajah,Stocky,NA,Alive,838 NE,NA,NA,ACOS:5,NA,Female,"Dark, braided",NA,AMOL:37,NA,NA,Aes Sedai,NA,NA,NA,NA
Anthelle Sharplyn,Andoran,NA,House Trakand,NA,Stout,NA,Alive,NA,NA,NA,KOD:17,NA,Female,NA,NA,KOD:17,NA,NA,NA,NA,NA,Lady,NA
Anvaere Damodred,Cairhienin,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,NS:6,Female,NA,NA,NA,NS:6,NA,NA,NA,NA,Lady,NA
Anya,Kandori,Servant,NA,NA,NA,NA,Alive,NA,NA,NA,NS:22,NA,Female,NA,NA,NS:26,NA,NA,NA,NA,NA,NA,NA
Aran'gar,Borderlander,NA,NA,NA,"Slender, Busty",NA,Dead,NA,1000 NE,Green,LOC:Prologue,NA,Female,"Black, glossy",NA,TOM:Prologue,AMOL:5,NA,Chosen,NA,NA,NA,NA
Arathelle Renshar,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,TPOD:17,TFOH:19,Female,"Brown, graying",NA,KOD:35,NA,NA,High Seat,NA,NA,Lady,NA
Aravine Carnel,Amadician,NA,Darkfriend,NA,Plump,NA,Dead,NA,NA,NA,COT:9,NA,Female,NA,NA,AMOL:37,NA,NA,NA,NA,NA,NA,NA
Arebis,Unknown nationality,NA,White Tower,Unknown Ajah,NA,NA,Alive,NA,NA,NA,NA,KOD:Prologue,Female,NA,NA,NA,KOD:Prologue,NA,Aes Sedai,NA,NA,NA,NA
Areina Nermasiv,Ghealdanin,NA,NA,NA,NA,NA,Alive,NA,NA,Blue,TFOH:48,NA,Female,Dark Braid,NA,KOD:24,NA,NA,NA,NA,NA,NA,NA
Aril Corl,Cairhienin,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TFOH:20,NA,Female,NA,NA,TFOH:20,NA,NA,NA,NA,NA,NA,NA
Arilinde Branstrom,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,KOD:17,NA,Female,NA,NA,KOD:17,NA,NA,NA,NA,NA,Lady,NA
Arilyn Dhulaine,Cairhienin,Eyes-and-ears,Gray Ajah,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:26,Female,NA,NA,NA,WH:13,NA,NA,NA,NA,Lady,NA
Arlene,Andoran,Maid,NA,NA,NA,NA,Alive,NA,NA,NA,COT:15,NA,Female,NA,NA,KOD:17,NA,NA,NA,NA,NA,NA,NA
Arrata,Seanchan,Soldier,Ever Victorious Army,NA,Wiry,NA,Alive,NA,NA,NA,KOD:26,KOD:Prologue,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrela Shiego,Tairen,NA,Cha Faile,NA,NA,NA,Alive,NA,NA,NA,TPOD:8,NA,Female,"Dark, short, style of Aiel",Tall,TGS:21,TOM:34,NA,NA,NA,NA,NA,NA
Arymilla Marne,Andoran,NA,Andor,NA,Plump,NA,Alive,NA,NA,"Brown, big",TFOH:19,NA,Female,NA,NA,TOM:50,NA,NA,High Seat,NA,NA,Lady,NA
Ashelin,Altaran,NA,White Tower,NA,Plump,NA,Alive,NA,NA,NA,KOD:24,NA,Female,NA,NA,KOD:24,NA,NA,Novice,NA,NA,NA,NA
Ashmanaille,Unknown nationality,NA,White Tower,Gray Ajah,Lanky,NA,Alive,902 NE,NA,Brown,LOC:14,NA,Female,Dark,Tall,AMOL:27,NA,NA,Aes Sedai,NA,NA,NA,NA
Asne Zeramene,Saldaean,NA,Black Ajah,Green Ajah,NA,NA,Dead,NA,1000 NE,NA,TSR:38,NA,Female,NA,NA,KOD:33,NA,NA,Aes Sedai,NA,NA,NA,NA
Asra Zigane,Domani,Wise Woman,The Kin,NA,NA,NA,Alive,NA,NA,NA,LOC:52,NA,Female,NA,NA,TPOD:28,NA,NA,NA,NA,NA,NA,NA
Asseil,Taraboner,NA,White Tower,NA,Slim,NA,Alive,NA,NA,Brown,KOD:24,NA,Female,Pale,NA,KOD:24,NA,NA,Accepted,NA,NA,NA,NA
Astara,Andoran,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TWORJTWOT,Female,NA,NA,NA,NA,NA,Queen,NA,NA,Queen,NA
Astelle al'Seen,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TSR:32,NA,Female,White,NA,TSR:32,NA,NA,NA,NA,NA,NA,NA
Astrelle,Unknown nationality,NA,White Tower,White Ajah,Plump,NA,Alive,NA,NA,NA,KOD:Prologue,NA,Female,NA,NA,KOD:Prologue,NA,NA,Aes Sedai,NA,NA,NA,NA
Atuan Larisett,Taraboner,NA,Black Ajah,Yellow Ajah,NA,NA,Unknown,NA,NA,NA,COT:Prologue,NS:4,Female,Dark and braided,NA,COT:Prologue,NA,NA,Aes Sedai,NA,NA,NA,NA
Auaine Fanwar,Borderlander,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:Prologue,NA,Female,"Silver-gray, in a bun",NA,TGS:Prologue,NA,NA,NA,NA,NA,NA,NA
Aurana,Seanchan,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,NA,KOD:11,Female,NA,NA,NA,KOD:11,NA,High Lady,NA,NA,High Lady,NA
Avene Sahera,Kandori,Innkeeper,NA,NA,Plump,NA,Alive,NA,NA,NA,NS:21,NS:17,Female,NA,NA,NS:21,NS:23,NA,NA,NA,NA,NA,NA
Aviellin,Aiel,NA,Car'a'carn,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,KOD:29,Female,NA,NA,NA,KOD:29,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Aviendha,Aiel,Wise One,NA,NA,NA,Taardad,Alive,980 NE,NA,Blue-green,TDR:38,NA,Female,Dark reddish,NA,AMOL:Epilogue,NA,NA,NA,Nine Valleys,NA,NA,NA
Ayako Norsoni,Arafellin,Dreadlord,The Shadow,White Ajah,NA,NA,Alive,NA,NA,Black,KOD:20,WH:Prologue,Female,"Black, waist-length",Small,AMOL:42,NA,NA,Aes Sedai,NA,NA,NA,NA
Azille Narof,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,NA,NA
Azril,Andoran,Serving girl,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:11,LOC:11,Female,NA,NA,LOC:11,LOC:11,NA,NA,NA,NA,NA,NA
Azzara din Karak,Atha'an Miere,Windfinder,NA,NA,NA,NA,Alive,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baerin,Aiel,NA,NA,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,NA,Female,NA,NA,NA,LOC:27,NA,NA,Unknown sept,Maiden of the Spear,NA,NA
Bain,Aiel,Gai'shain,Car'a'carn,NA,NA,Shaarad,Alive,NA,NA,Dark blue,TDR:38,NA,Female,Fiery red,Tall,AMOL:44,NA,NA,NA,Black Rock,Far Dareis Mai,NA,NA
Bair,Aiel,Wise One,NA,NA,NA,Shaarad,Alive,NA,NA,NA,TSR:23,TDR:39,Female,White,NA,AMOL:Epilogue,NA,NA,NA,Haido,NA,NA,NA
Balladare Arandaille,Unknown nationality,NA,White Tower,Brown Ajah,NA,NA,Dead,NA,142 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TGS:16,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Ballair,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,LOC:26,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,NA,NA
Barashelle,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,TFOH:24,Female,NA,NA,NA,TFOH:36,NA,Aes Sedai,NA,NA,NA,NA
Barasine,Unknown nationality,Sitter,White Tower,Red Ajah,Lanky,NA,Alive,NA,NA,NA,KOD:Prologue,LOC:8,Female,NA,Tall,TOM:27,NA,NA,Aes Sedai,NA,NA,NA,NA
Beira,Aiel,Gai'shain,Bair,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,NA,Female,NA,NA,LOC:15,NA,NA,NA,Unknown sept,Unknown society,NA,NA
Belairah,Saldaean,Queen,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TOM:16,Female,NA,NA,NA,TOM:16,NA,NA,NA,NA,NA,NA
Beldair,Cairhienin,Cook,NA,NA,Stout,NA,Alive,NA,NA,NA,COT:Prologue,NA,Female,Gray,Tall,COT:Prologue,NA,NA,NA,NA,NA,NA,NA
Beldeine Nyram,Saldaean,NA,White Tower,Green Ajah,NA,NA,Dead,966 NE,1000 NE,"Brown, slightly tilted",TDR:22,NA,Female,Curly,NA,TGS:48,AMOL:37,NA,Aes Sedai,NA,NA,NA,NA
Beldemaine,Arafellin,NA,White Tower,Yellow Ajah,Plump,NA,Alive,NA,NA,NA,LOC:30,NA,Female,With silver bells,NA,LOC:30,NA,NA,Aes Sedai,NA,NA,NA,NA
Belevaere Osiellin,Cairhienin,NA,Elayne Trakand,NA,NA,NA,Alive,NA,NA,NA,TGH:32,NA,Female,NA,NA,TOM:50,NA,NA,NA,NA,NA,Lady,NA
Belinde,Aiel,Wise One,Sevanna,NA,Skinny,Shaido,Alive,NA,NA,Pale Blue,ACOS:Prologue,NA,Female,Nearly White,NA,KOD:30,NA,NA,NA,Unknown sept,NA,NA,NA
Bennae Nalsad,Shienaran,NA,White Tower,Brown Ajah,Slender,NA,Alive,NA,NA,"Blue, Sharp",KOD:24,TDR:37,Female,"Dark, Heavily graying",NA,TGS:12,TGS:16,NA,Aes Sedai,NA,NA,NA,NA
Beonin Marinye,Taraboner,NA,White Tower,Gray Ajah,NA,NA,Alive,936 NE,NA,Blue-gray,TFOH:27,NA,Female,"Dark, Honey-colored",NA,KOD:24,TGS:18,NA,Aes Sedai,NA,NA,NA,NA
Bera Harkin,Andoran,NA,White Tower,Green Ajah,Stocky,NA,Alive,NA,NA,Brown,LOC:49,TFOH:27,Female,"Brown, short",NA,AMOL:23,NA,NA,Aes Sedai,NA,NA,NA,NA
Beralna,Aiel,NA,Car'a'carn,NA,Bony,Unknown clan,Alive,NA,NA,Blue,LOC:49,NA,Female,Red,NA,TGS:29,AMOL:1,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Berana Shemon,Shienaran,Sitter,White Tower,White Ajah,NA,NA,Alive,NA,NA,"Brown, Big",COT:19,NA,Female,NA,NA,TGS:43,NA,NA,Aes Sedai,NA,NA,NA,NA
Berelain sur Paendrag Paeron,Mayener,First of Mayene,Perrin Aybara,NA,NA,NA,Alive,NA,NA,"Big, dark",TDR:53,TGH:9,Female,"Long, black",NA,AMOL:37,NA,NA,Lady,NA,NA,"First of Mayene, Blessed of the Light, Defender of the Waves, High Seat of House Paeron",NA
Berenicia Morsad,Shienaran,NA,White Tower,Yellow Ajah,Plump,NA,Alive,838 NE,NA,NA,LOC:46,LOC:41,Female,NA,NA,LOC:49,NA,NA,Aes Sedai,NA,NA,NA,NA
Berisha Terakuni,Arafellin,NA,White Tower,Gray Ajah,Lean,NA,Dead,NA,1000 NE,Hard,ACOS:Prologue,NA,Female,NA,Short,AMOL:33,NA,NA,Aes Sedai,NA,NA,NA,NA
Bernaile Gelbarn,Taraboner,NA,White Tower,White Ajah,Stocky,NA,Alive,NA,NA,NA,COT:Prologue,TPOD:26,Female,Braided with beads,NA,COT:Prologue,NA,NA,Aes Sedai,NA,NA,NA,NA
Berowin Doraisin,Cairhienin,Wise Woman,The Kin,NA,Stout,NA,Alive,NA,NA,NA,ACOS:23,NA,Female,NA,Short,ACOS:23,ACOS:31,NA,NA,NA,NA,NA,NA
Berowyn al'Vere,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:Ravens,Female,NA,NA,NA,WH:26,NA,NA,NA,NA,NA,NA
Beryl Marle,Unknown nationality,NA,NA,White Ajah,NA,NA,Dead,NA,533 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Berylla Naron,Illianer,NA,Black Ajah,Blue Ajah,Lean,NA,Alive,933 NE,NA,Dark Brown,TFOH:18,NA,Female,Black,NA,TFOH:18,NA,NA,Aes Sedai,NA,NA,NA,NA
Bethamin Zeami,Seanchan,Sul'dam,White Tower,NA,NA,NA,Alive,NA,NA,Dark,TSR:38,NA,Female,NA,Tall,TOM:17,NA,NA,NA,NA,NA,NA,NA
Betse Silvin,Cairhienin,Serving girl,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:5,NA,Female,NA,NA,LOC:5,NA,NA,NA,NA,NA,NA,NA
Bharatine,Unknown nationality,NA,White Tower,Green Ajah,Thin,NA,Alive,921 NE,NA,NA,LOC:14,NA,Female,NA,NA,LOC:30,NA,NA,Aes Sedai,NA,NA,NA,NA
Biranca Hasad,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,NA,NA
Birgitte Silverbow,Unknown nationality,Warder,House Trakand,NA,NA,NA,Bound to the Wheel,NA,NA,Blue,TGH:47,NA,Female,Blonde,"5'7""",AMOL:Epilogue,NA,NA,Hero of the Horn,NA,NA,Captain-General of the Queen's Guard,NA
Birlen Pena,Unknown nationality,NA,Black Ajah,Unknown Ajah,NA,NA,Alive,NA,NA,NA,NA,TGS:39,Female,NA,NA,NA,TGS:Epilogue,NA,Aes Sedai,NA,NA,NA,NA
Blaes,Unknown nationality,NA,Horn of Valere,NA,NA,NA,Bound to the Wheel,NA,NA,NA,TGH:47,TEOTW:17,Female,NA,NA,AMOL:39,NA,NA,Hero of the Horn,NA,NA,NA,NA
Bodewhin Cauthon,Andoran,NA,White Tower,NA,Plump,NA,Alive,983 NE[1],NA,"Unknown, described as ""Big"" and likely Brown",TSR:33,TSR:13,Female,"Long, braided",NA,KOD:23,NA,NA,Novice,NA,NA,NA,NA
Bonwhin Meraighdin,Unknown nationality,NA,White Tower,Red Ajah,NA,NA,Dead,FY 738,FY 996,NA,NA,TGH:5,Female,NA,NA,NA,COT:30,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Boreane Carivin,Cairhienin,Servant,NA,NA,NA,NA,Alive,NA,NA,NA,TPOD:14,NA,Female,NA,NA,TPOD:21,NA,NA,NA,NA,NA,NA,NA
Breane Taborwin,Cairhienin,NA,Morgase Trakand,NA,NA,NA,Alive,NA,NA,Dark,TGH:32,NA,Female,NA,NA,TOM:44,NA,NA,NA,NA,NA,Lady,NA
Brendas,Unknown nationality,NA,Rebel Aes Sedai,White Ajah,NA,NA,Alive,946 NE,NA,"Dark, cool",NS:3,NS:2,Female,NA,NA,TOM:37,NA,NA,Aes Sedai,NA,NA,NA,NA
Breyan Mandragoran,Malkieri,NA,NA,NA,NA,NA,Unknown,NA,Presumably 955 NE,NA,NA,TEOTW:47,Female,NA,NA,NA,TGH:7,NA,Lady,NA,NA,Lady,NA
Briain,Aiel,NA,Car'a'carn,NA,NA,Unknown clan,Dead,NA,1000 NE,NA,WH:6,NA,Female,NA,NA,WH:6,KOD:29,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Bromas,Andoran,Innkeeper,NA,NA,Stout,NA,Alive,NA,NA,NA,TOM:8,NA,Female,NA,NA,TOM:8,TOM:8,NA,NA,NA,NA,NA,NA
Brune,Andoran,Healer,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:33,Female,NA,NA,NA,TEOTW:33,NA,NA,NA,NA,NA,NA
Buad,Unknown nationality,NA,Horn of Valere,NA,NA,NA,Bound to the Wheel,NA,NA,NA,TGH:47,TEOTW:17,Female,NA,NA,AMOL:39,NA,NA,Hero of the Horn,NA,NA,NA,NA
Cabriana Mecandes,Tairen,NA,NA,Blue Ajah,NA,NA,Dead,911 NE,999 NE,Pale Blue,NS:12,NA,Female,"Long, Golden",NA,LOC:6,KOD:23,NA,Aes Sedai,NA,NA,NA,NA
Cadsuane Melaidhrin,Far Madding,NA,White Tower,Green Ajah,NA,NA,Alive,705 NE,NA,Nearly black,NS:17,NA,Female,Iron gray,"5'5""",AMOL:Epilogue,NA,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Caiden,Domani,NA,The Kin,NA,Plump,NA,Alive,NA,NA,NA,KOD:13,NA,Female,NA,NA,KOD:13,NA,NA,NA,NA,NA,NA,NA
